time,pm2_5,pm10,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2024-01-30 00:00:00,23.2,46.8,20.4,94,5.2,karachi
2024-01-30 01:00:00,23.8,48.0,20.1,95,4.7,karachi
2024-01-30 02:00:00,24.4,49.9,20.9,92,1.3,karachi
2024-01-30 03:00:00,24.2,50.6,20.7,92,1.8,karachi
2024-01-30 04:00:00,24.7,53.0,20.6,92,2.5,karachi
2024-01-30 05:00:00,24.6,55.9,20.8,91,2.3,karachi
2024-01-30 06:00:00,24.9,58.3,19.0,96,6.6,karachi
2024-01-30 07:00:00,27.5,64.0,19.0,96,9.7,karachi
2024-01-30 08:00:00,34.0,74.7,18.8,96,6.0,karachi
2024-01-30 09:00:00,34.5,77.8,20.4,88,4.0,karachi
2024-01-30 10:00:00,25.5,75.4,22.3,78,3.2,karachi
2024-01-30 11:00:00,21.8,81.3,23.3,72,3.6,karachi
2024-01-30 12:00:00,21.4,89.4,24.8,66,9.3,karachi
2024-01-30 13:00:00,21.8,96.9,25.1,64,13.8,karachi
2024-01-30 14:00:00,22.3,104.3,25.4,63,16.5,karachi
2024-01-30 15:00:00,22.5,109.2,25.1,60,16.4,karachi
2024-01-30 16:00:00,22.4,108.3,25.2,60,16.8,karachi
2024-01-30 17:00:00,22.0,102.0,24.5,64,17.1,karachi
2024-01-30 18:00:00,21.5,93.1,23.4,73,13.9,karachi
2024-01-30 19:00:00,21.1,78.5,22.8,77,12.4,karachi
2024-01-30 20:00:00,21.1,71.7,22.5,80,10.9,karachi
2024-01-30 21:00:00,22.7,67.3,22.2,82,11.3,karachi
2024-01-30 22:00:00,24.2,66.6,21.9,85,11.5,karachi
2024-01-30 23:00:00,25.3,65.9,21.6,87,12.0,karachi
2024-01-31 00:00:00,25.8,65.2,21.5,89,12.2,karachi
2024-01-31 01:00:00,25.4,62.9,21.1,91,9.7,karachi
2024-01-31 02:00:00,24.2,60.1,21.0,91,10.2,karachi
2024-01-31 03:00:00,23.2,58.0,20.9,91,10.4,karachi
2024-01-31 04:00:00,22.6,56.6,20.5,91,10.1,karachi
2024-01-31 05:00:00,21.8,54.0,20.4,91,10.9,karachi
2024-01-31 06:00:00,21.8,52.3,20.6,91,7.5,karachi
2024-01-31 07:00:00,23.2,51.9,20.1,91,8.2,karachi
2024-01-31 08:00:00,28.7,58.1,20.8,89,6.1,karachi
2024-01-31 09:00:00,25.9,59.3,22.1,83,3.6,karachi
2024-01-31 10:00:00,23.1,58.1,23.6,75,6.0,karachi
2024-01-31 11:00:00,20.7,57.0,24.8,67,9.3,karachi
2024-01-31 12:00:00,19.8,56.7,25.9,59,12.6,karachi
2024-01-31 13:00:00,19.0,56.8,26.4,57,17.1,karachi
2024-01-31 14:00:00,18.6,59.1,26.2,56,20.7,karachi
2024-01-31 15:00:00,18.2,62.2,26.1,54,21.6,karachi
